PUSH-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
130,< 1,3,8,14,20
140,< 1,3,8,13,20
150,< 1,3,8,13,19
160,< 1,3,7,13,18
170,< 1,3,7,13,18
180,< 1,3,7,12,17
190,< 1,3,7,12,17
200,< 1,3,7,12,16
210,< 1,3,7,11,16
220,< 1,3,6,10,15
230,< 1,3,6,10,15
240,< 1,3,6,10,14
250,< 1,2,6,9,14
260,< 1,2,6,9,13
270,< 1,2,6,9,13
280,< 1,2,5,9,13
290,< 1,2,5,8,12
300,< 1,2,5,8,12
310,< 1,2,4,8,12
,,,,,
PULL-UP STANDARDS FOR MALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,2,6,11,17
120,< 1,2,6,11,17
130,< 1,2,6,11,16
140,< 1,3,6,11,16
150,< 1,3,6,11,15
160,< 1,3,6,10,15
170,< 1,3,6,10,14
180,< 1,3,6,10,14
190,< 1,3,5,9,13
200,< 1,2,5,9,13
210,< 1,2,5,9,13
220,< 1,2,5,8,12
230,< 1,2,5,8,12
240,< 1,2,4,8,11
250,< 1,2,4,7,11
260,< 1,2,4,7,11
270,< 1,2,4,7,11
280,< 1,2,4,7,10
290,< 1,1,4,7,10
300,< 1,1,4,7,9
310,< 1,1,4,6,9
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,10,37,73,116
120,< 1,10,37,71,112
130,< 1,11,37,69,108
140,< 1,12,36,67,104
150,< 1,12,36,66,101
160,< 1,12,35,64,97
170,< 1,12,35,62,94
180,< 1,12,34,61,91
190,< 1,12,33,59,89
200,< 1,12,33,57,86
210,< 1,12,32,56,84
220,< 1,12,31,55,82
230,< 1,12,31,54,80
240,< 1,12,30,52,77
250,< 1,12,29,51,76
260,< 1,12,29,50,74
270,< 1,12,29,49,72
280,< 1,12,28,48,70
290,< 1,11,27,47,69
300,< 1,11,27,46,67
310,< 1,11,26,45,66
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,11,42,82,131
120,< 1,12,42,80,126
130,< 1,12,41,78,121
140,< 1,13,40,76,117
150,< 1,14,40,74,113
160,< 1,14,40,72,110
170,< 1,14,39,70,106
180,< 1,14,38,68,103
190,< 1,14,37,67,100
200,< 1,14,37,65,97
210,< 1,14,36,63,94
220,< 1,14,35,62,92
230,< 1,14,35,60,90
240,< 1,14,34,59,87
250,< 1,13,33,57,85
260,< 1,13,33,57,83
270,< 1,13,32,55,81
280,< 1,13,32,54,79
290,< 1,12,31,53,77
300,< 1,12,30,51,76
310,< 1,12,29,51,74
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,11,43,84,134
120,< 1,12,43,82,128
130,< 1,13,42,80,124
140,< 1,14,41,77,119
150,< 1,14,41,76,116
160,< 1,14,41,74,112
170,< 1,14,40,71,108
180,< 1,14,39,70,105
190,< 1,14,38,68,102
200,< 1,14,38,66,99
210,< 1,14,37,65,96
220,< 1,14,36,63,94
230,< 1,14,35,62,92
240,< 1,14,35,60,89
250,< 1,14,34,59,87
260,< 1,14,34,58,85
270,< 1,14,33,56,83
280,< 1,14,32,55,81
290,< 1,13,32,54,79
300,< 1,13,31,53,77
310,< 1,13,30,52,76
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,11,41,80,127
120,< 1,11,41,78,122
130,< 1,12,40,76,118
140,< 1,13,39,73,113
150,< 1,14,39,72,110
160,< 1,14,38,70,106
170,< 1,14,38,68,103
180,< 1,14,37,66,100
190,< 1,14,36,65,97
200,< 1,14,36,63,94
210,< 1,14,35,61,91
220,< 1,14,34,60,89
230,< 1,14,33,58,87
240,< 1,14,33,57,84
250,< 1,13,32,56,83
260,< 1,13,32,55,81
270,< 1,13,31,53,78
280,< 1,13,31,52,77
290,< 1,12,30,51,75
300,< 1,12,29,50,73
310,< 1,12,29,49,72
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,9,35,70,111
120,< 1,10,35,68,106
130,< 1,11,35,66,103
140,< 1,11,34,64,99
150,< 1,12,34,63,96
160,< 1,12,34,61,93
170,< 1,12,33,59,90
180,< 1,12,32,58,87
190,< 1,12,32,57,85
200,< 1,12,31,55,82
210,< 1,12,31,54,80
220,< 1,12,30,52,78
230,< 1,12,29,51,76
240,< 1,12,29,50,73
250,< 1,11,28,49,72
260,< 1,11,28,48,70
270,< 1,11,27,47,68
280,< 1,11,27,45,67
290,< 1,11,26,45,65
300,< 1,11,26,44,64
310,< 1,11,25,43,63
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,8,29,58,92
120,< 1,8,29,56,88
130,< 1,9,29,55,85
140,< 1,9,28,53,82
150,< 1,10,28,52,80
160,< 1,10,28,51,77
170,< 1,10,27,49,75
180,< 1,10,27,48,72
190,< 1,10,26,47,70
200,< 1,10,26,46,68
210,< 1,10,25,45,66
220,< 1,10,25,43,65
230,< 1,10,24,42,63
240,< 1,10,24,41,61
250,< 1,9,23,40,60
260,< 1,9,23,40,58
270,< 1,9,23,39,57
280,< 1,9,22,38,56
290,< 1,9,22,37,54
300,< 1,9,21,36,53
310,< 1,9,21,36,52
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,24,46,73
120,< 1,7,24,45,71
130,< 1,7,23,44,68
140,< 1,7,23,42,66
150,< 1,8,23,42,64
160,< 1,8,22,40,61
170,< 1,8,22,39,59
180,< 1,8,21,38,58
190,< 1,8,21,38,56
200,< 1,8,21,36,54
210,< 1,8,20,35,53
220,< 1,8,20,35,52
230,< 1,8,19,34,50
240,< 1,8,19,33,49
250,< 1,7,19,32,48
260,< 1,7,19,32,47
270,< 1,7,18,31,45
280,< 1,7,18,30,45
290,< 1,7,17,30,43
300,< 1,7,17,29,42
310,< 1,7,17,28,42
,,,,,
GOBLET SQUAT @25% BW STANDARDS FOR MALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,19,37,59
120,< 1,5,19,36,56
130,< 1,6,18,35,54
140,< 1,6,18,34,52
150,< 1,6,18,33,51
160,< 1,6,18,32,49
170,< 1,6,17,31,48
180,< 1,6,17,31,46
190,< 1,6,17,30,45
200,< 1,6,17,29,44
210,< 1,6,16,28,42
220,< 1,6,16,28,41
230,< 1,6,16,27,40
240,< 1,6,15,26,39
250,< 1,6,15,26,38
260,< 1,6,15,25,37
270,< 1,6,15,25,36
280,< 1,6,14,24,36
290,< 1,6,14,24,35
300,< 1,6,14,23,34
310,< 1,6,13,23,33
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,17,44,74
120,< 1,1,20,45,74
130,< 1,3,22,46,74
140,< 1,4,23,46,73
150,< 1,6,23,46,72
160,< 1,7,24,47,72
170,< 1,8,25,47,71
180,< 1,8,25,46,70
190,< 1,9,25,46,69
200,< 1,9,26,46,68
210,< 1,10,26,45,67
220,< 1,10,26,45,66
230,< 1,10,26,44,65
240,< 1,10,26,44,64
250,< 1,10,26,44,63
260,< 1,10,25,44,62
270,< 1,11,25,43,61
280,< 1,11,25,42,60
290,1,11,25,42,59
300,1,11,25,41,58
310,1,11,24,41,57
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,20,49,83
120,< 1,1,23,51,83
130,< 1,4,25,52,83
140,< 1,5,25,52,82
150,< 1,7,26,52,81
160,< 1,8,27,53,81
170,< 1,9,28,53,80
180,< 1,9,28,52,78
190,< 1,10,28,52,77
200,< 1,10,29,52,76
210,< 1,11,29,51,75
220,< 1,11,29,51,74
230,< 1,12,29,50,74
240,< 1,12,29,50,73
250,< 1,12,29,49,71
260,< 1,12,28,49,70
270,< 1,13,28,48,69
280,< 1,13,28,47,68
290,1,13,28,47,67
300,1,13,28,46,66
310,1,13,27,46,65
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,20,50,85
120,< 1,1,23,52,85
130,< 1,4,25,53,85
140,< 1,5,26,53,84
150,< 1,7,27,53,83
160,< 1,8,28,54,83
170,< 1,9,29,54,82
180,< 1,9,29,53,80
190,< 1,10,29,53,79
200,< 1,10,30,53,78
210,< 1,11,30,52,77
220,< 1,11,30,52,76
230,< 1,12,30,51,75
240,< 1,12,30,51,74
250,< 1,12,30,50,72
260,< 1,12,29,50,71
270,< 1,13,29,49,70
280,< 1,13,29,48,69
290,1,13,29,48,68
300,1,13,29,47,67
310,1,13,28,47,66
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,19,48,81
120,< 1,1,22,49,81
130,< 1,4,24,50,81
140,< 1,5,25,50,80
150,< 1,7,26,50,79
160,< 1,8,27,51,79
170,< 1,9,28,51,78
180,< 1,9,28,50,76
190,< 1,10,28,50,75
200,< 1,10,29,50,74
210,< 1,10,29,49,73
220,< 1,10,29,49,72
230,< 1,11,29,48,71
240,< 1,11,29,48,70
250,< 1,11,29,48,68
260,< 1,11,28,48,67
270,< 1,12,28,47,67
280,< 1,12,28,46,66
290,1,12,28,46,65
300,1,12,28,45,64
310,1,12,27,45,63
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,17,42,71
120,< 1,1,19,43,71
130,< 1,3,21,44,71
140,< 1,4,22,44,70
150,< 1,6,22,44,69
160,< 1,7,23,45,69
170,< 1,7,24,45,68
180,< 1,7,24,44,66
190,< 1,8,24,44,66
200,< 1,8,25,44,65
210,< 1,9,25,43,64
220,< 1,9,25,43,63
230,< 1,10,25,42,62
240,< 1,10,25,42,61
250,< 1,10,25,42,60
260,< 1,10,24,42,59
270,< 1,11,24,41,58
280,< 1,11,24,40,57
290,1,11,24,40,56
300,1,11,24,39,56
310,1,11,23,39,55
,,,,,
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,14,35,59
120,< 1,1,16,36,59
130,< 1,3,17,37,59
140,< 1,3,18,37,58
150,< 1,5,19,37,57
160,< 1,6,19,37,57
170,< 1,6,20,37,57
180,< 1,6,20,37,55
190,< 1,7,20,37,55
200,< 1,7,21,37,54
210,< 1,8,21,36,53
220,< 1,8,21,36,52
230,< 1,8,21,35,52
240,< 1,8,21,35,51
250,< 1,8,21,35,50
260,< 1,8,20,35,49
270,< 1,9,20,34,48
280,< 1,9,20,33,48
290,1,9,20,33,47
300,1,9,20,32,46
310,1,9,19,32,46
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,11,28,47
120,< 1,1,13,29,47
130,< 1,2,14,29,47
140,< 1,3,14,29,46
150,< 1,4,15,29,46
160,< 1,4,15,30,46
170,< 1,5,16,30,45
180,< 1,5,16,29,44
190,< 1,6,16,29,43
200,< 1,6,17,29,43
210,< 1,6,17,29,42
220,< 1,6,17,29,42
230,< 1,7,17,28,41
240,< 1,7,17,28,41
250,< 1,7,17,28,40
260,< 1,7,16,28,39
270,< 1,7,16,27,39
280,< 1,7,16,26,38
290,1,7,16,26,37
300,1,7,16,26,37
310,1,7,15,26,36
,,,,,
45O BACK EXTENSIONS STANDARDS FOR MALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,< 1,9,22,37
120,< 1,0,10,23,37
130,< 1,2,11,23,37
140,< 1,2,11,23,37
150,< 1,3,12,23,37
160,< 1,4,12,24,37
170,< 1,4,13,24,36
180,< 1,4,13,23,35
190,< 1,4,13,23,35
200,< 1,4,13,23,34
210,< 1,5,13,23,34
220,< 1,5,13,23,33
230,< 1,5,13,22,33
240,< 1,5,13,22,33
250,< 1,5,13,22,32
260,< 1,5,13,22,31
270,< 1,6,13,22,31
280,< 1,6,13,21,30
290,1,6,13,21,30
300,1,6,13,21,29
310,1,6,12,21,29
,,,,,
APPENDIX B,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,4,17,35,54
100,< 1,5,17,33,51
110,< 1,5,17,32,49
120,< 1,5,17,31,47
130,< 1,5,17,30,45
140,< 1,5,16,29,44
150,< 1,5,15,28,42
160,< 1,5,15,27,40
170,< 1,5,14,25,38
180,< 1,4,13,24,37
190,< 1,4,13,23,35
200,< 1,4,12,23,34
210,< 1,3,11,22,33
220,< 1,3,11,21,31
230,< 1,3,10,20,30
240,< 1,3,10,19,30
250,< 1,3,10,18,28
260,< 1,3,10,18,27
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,5,20,39,61
100,< 1,6,20,37,58
110,< 1,6,20,36,55
120,< 1,6,19,35,53
130,< 1,6,19,33,51
140,< 1,6,18,32,49
150,< 1,6,17,31,47
160,< 1,6,17,30,45
170,< 1,6,16,28,43
180,< 1,5,15,27,41
190,< 1,5,15,26,39
200,< 1,5,14,25,38
210,< 1,4,13,25,37
220,< 1,4,13,24,35
230,< 1,4,12,23,34
240,< 1,3,12,22,33
250,< 1,3,11,21,31
260,< 1,3,11,21,30
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,5,20,40,62
100,< 1,6,20,38,59
110,< 1,6,20,37,56
120,< 1,6,19,36,54
130,< 1,6,19,34,52
140,< 1,6,18,33,50
150,< 1,6,17,32,48
160,< 1,6,17,31,46
170,< 1,6,16,29,44
180,< 1,5,15,28,42
190,< 1,5,15,27,40
200,< 1,5,14,26,39
210,< 1,4,13,25,38
220,< 1,4,13,24,36
230,< 1,4,12,23,35
240,< 1,3,12,22,34
250,< 1,3,11,21,32
260,< 1,3,11,21,31
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,5,19,38,59
100,< 1,6,19,36,56
110,< 1,6,19,35,53
120,< 1,6,18,34,51
130,< 1,6,18,32,49
140,< 1,6,17,31,48
150,< 1,6,16,30,46
160,< 1,6,16,29,44
170,< 1,6,15,28,42
180,< 1,5,14,27,40
190,< 1,5,14,26,38
200,< 1,5,13,25,37
210,< 1,4,12,24,36
220,< 1,4,12,23,34
230,< 1,4,11,22,33
240,< 1,3,11,21,32
250,< 1,3,10,20,30
260,< 1,3,10,20,29
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,4,17,33,51
100,< 1,5,17,32,49
110,< 1,5,17,31,46
120,< 1,5,16,30,45
130,< 1,5,16,28,43
140,< 1,5,15,27,42
150,< 1,5,14,27,40
160,< 1,5,14,26,38
170,< 1,5,13,24,37
180,< 1,4,12,23,35
190,< 1,4,12,22,33
200,< 1,4,12,22,32
210,< 1,3,11,21,32
220,< 1,3,11,20,30
230,< 1,3,10,19,29
240,< 1,2,10,18,28
250,< 1,2,9,17,27
260,< 1,2,9,17,26
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,3,14,28,43
100,< 1,4,14,26,41
110,< 1,4,14,26,39
120,< 1,4,13,25,37
130,< 1,4,13,23,36
140,< 1,4,12,23,35
150,< 1,4,12,22,33
160,< 1,4,12,21,32
170,< 1,4,11,20,30
180,< 1,3,10,19,29
190,< 1,3,10,19,28
200,< 1,3,10,18,27
210,< 1,3,9,17,26
220,< 1,3,9,17,25
230,< 1,3,8,16,24
240,< 1,2,8,15,23
250,< 1,2,8,14,22
260,< 1,2,8,14,21
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,3,11,22,34
100,< 1,3,11,21,32
110,< 1,3,11,20,31
120,< 1,3,10,20,30
130,< 1,3,10,19,29
140,< 1,3,10,18,28
150,< 1,3,9,18,26
160,< 1,3,9,17,25
170,< 1,3,9,16,24
180,< 1,3,8,15,23
190,< 1,3,8,15,22
200,< 1,3,8,14,21
210,< 1,2,7,14,21
220,< 1,2,7,13,20
230,< 1,2,7,13,19
240,< 1,2,7,12,19
250,< 1,2,6,12,18
260,< 1,2,6,12,17
,,,,,
PUSH-UP STANDARDS FOR FEMALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,2,9,18,27
100,< 1,3,9,17,26
110,< 1,3,9,16,25
120,< 1,3,8,16,24
130,< 1,3,8,15,23
140,< 1,3,8,15,22
150,< 1,3,7,14,21
160,< 1,3,7,14,20
170,< 1,3,7,13,19
180,< 1,2,7,12,18
190,< 1,2,7,12,18
200,< 1,2,6,11,17
210,< 1,2,6,11,17
220,< 1,2,6,11,16
230,< 1,2,5,10,15
240,< 1,1,5,10,15
250,< 1,1,5,9,14
260,< 1,1,5,9,14
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,10,21,33
100,< 1,2,10,21,32
110,< 1,3,10,21,32
120,< 1,3,11,21,31
130,< 1,3,11,21,30
140,< 1,4,11,20,30
150,< 1,4,11,20,29
160,< 1,4,11,19,28
170,< 1,4,10,19,28
180,< 1,4,10,18,27
190,< 1,4,10,18,26
200,< 1,4,10,17,25
210,< 1,4,10,17,24
220,< 1,4,10,17,23
230,< 1,3,9,16,23
240,< 1,3,9,16,23
250,< 1,3,9,15,22
260,< 1,3,9,14,21
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,11,24,37
100,< 1,2,12,24,36
110,< 1,3,12,24,36
120,< 1,4,13,24,35
130,< 1,4,13,24,34
140,< 1,5,13,23,33
150,< 1,5,13,23,32
160,< 1,5,13,22,31
170,< 1,5,12,22,31
180,< 1,5,12,21,30
190,< 1,5,12,21,29
200,< 1,5,11,20,28
210,< 1,5,11,19,27
220,< 1,5,11,19,26
230,< 1,4,10,18,25
240,< 1,4,10,18,25
250,< 1,4,10,17,25
260,< 1,4,10,16,24
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,11,24,38
100,< 1,2,12,24,37
110,< 1,3,12,24,37
120,< 1,4,13,24,36
130,< 1,4,13,24,35
140,< 1,5,13,23,34
150,< 1,5,13,23,33
160,< 1,5,13,22,32
170,< 1,5,12,22,32
180,< 1,5,12,21,31
190,< 1,5,12,21,30
200,< 1,5,11,20,29
210,< 1,5,11,19,28
220,< 1,5,11,19,27
230,< 1,4,10,18,26
240,< 1,4,10,18,26
250,< 1,4,10,17,25
260,< 1,4,10,16,24
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,10,23,36
100,< 1,2,11,23,35
110,< 1,3,11,23,35
120,< 1,4,12,23,34
130,< 1,4,12,23,33
140,< 1,5,12,22,32
150,< 1,5,12,22,31
160,< 1,5,12,21,30
170,< 1,5,11,21,30
180,< 1,5,11,20,29
190,< 1,5,11,20,29
200,< 1,5,10,19,28
210,< 1,5,10,18,27
220,< 1,5,10,18,26
230,< 1,4,10,17,25
240,< 1,4,10,17,25
250,< 1,4,10,16,24
260,< 1,4,10,15,23
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,9,20,32
100,< 1,2,10,20,31
110,< 1,2,10,20,31
120,< 1,3,11,20,30
130,< 1,3,11,20,29
140,< 1,4,11,19,28
150,< 1,4,11,19,27
160,< 1,4,11,18,27
170,< 1,4,10,18,27
180,< 1,4,10,17,26
190,< 1,4,10,17,25
200,< 1,4,9,17,24
210,< 1,4,9,16,23
220,< 1,4,9,16,22
230,< 1,3,8,15,22
240,< 1,3,8,15,22
250,< 1,3,8,14,21
260,< 1,3,8,13,20
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,8,17,26
100,< 1,1,8,17,26
110,< 1,2,8,17,26
120,< 1,3,9,17,25
130,< 1,3,9,17,24
140,< 1,3,9,16,23
150,< 1,3,9,16,23
160,< 1,3,9,15,22
170,< 1,3,8,15,22
180,< 1,3,8,14,21
190,< 1,3,8,14,21
200,< 1,3,8,14,20
210,< 1,3,8,13,19
220,< 1,3,8,13,19
230,< 1,3,7,12,18
240,< 1,3,7,12,18
250,< 1,3,7,12,17
260,< 1,3,7,11,17
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,1,6,13,21
100,< 1,1,7,13,20
110,< 1,2,7,13,20
120,< 1,2,7,13,20
130,< 1,2,7,13,19
140,< 1,3,7,13,19
150,< 1,3,7,13,18
160,< 1,3,7,12,18
170,< 1,3,7,12,18
180,< 1,3,7,12,17
190,< 1,3,7,12,17
200,< 1,3,6,11,16
210,< 1,3,6,10,15
220,< 1,3,6,10,15
230,< 1,2,6,10,14
240,< 1,2,6,10,14
250,< 1,2,6,9,14
260,< 1,2,6,9,13
,,,,,
INVERTED ROW STANDARDS FOR FEMALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,0,5,11,17
100,< 1,1,5,11,16
110,< 1,1,5,11,16
120,< 1,2,6,11,16
130,< 1,2,6,11,15
140,< 1,2,6,10,15
150,< 1,2,6,10,15
160,< 1,2,6,10,14
170,< 1,2,5,10,14
180,< 1,2,5,9,14
190,< 1,2,5,9,13
200,< 1,2,5,9,13
210,< 1,2,5,8,12
220,< 1,2,5,8,12
230,< 1,2,4,8,11
240,< 1,2,4,8,11
250,< 1,2,4,7,11
260,< 1,2,4,7,11
,,,,,
TRICEPS DIP STANDARDS FOR FEMALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,< 1,9,19,31
100,< 1,< 1,9,19,30
110,< 1,1,9,19,30
120,< 1,1,9,18,29
130,< 1,1,9,17,28
140,< 1,1,9,17,27
150,< 1,1,9,17,25
160,< 1,1,8,16,24
170,< 1,1,8,16,23
180,< 1,1,8,15,23
190,< 1,1,7,14,22
200,< 1,1,7,14,21
210,< 1,< 1,7,13,20
220,< 1,< 1,6,12,19
230,< 1,< 1,6,12,18
240,< 1,< 1,6,11,18
250,< 1,< 1,5,10,17
260,< 1,< 1,5,10,17
,,,,,
TRICEPS DIP STANDARDS FOR FEMALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,< 1,10,22,35
100,< 1,< 1,10,22,34
110,< 1,1,10,22,33
120,< 1,1,10,21,32
130,< 1,1,10,20,31
140,< 1,1,10,20,30
150,< 1,1,10,19,28
160,< 1,1,9,18,27
170,< 1,1,9,18,26
180,< 1,1,9,17,25
190,< 1,1,8,16,25
200,< 1,1,8,16,24
210,< 1,< 1,8,15,23
220,< 1,< 1,7,14,22
230,< 1,< 1,7,14,21
240,< 1,< 1,7,13,21
250,< 1,< 1,6,12,20
260,< 1,< 1,6,12,19
,,,,,
TRICEPS DIP STANDARDS FOR FEMALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,< 1,10,22,36
100,< 1,< 1,10,22,35
110,< 1,1,10,22,34
120,< 1,1,10,21,33
130,< 1,1,10,20,32
140,< 1,1,10,20,31
150,< 1,1,10,19,29
160,< 1,1,9,18,28
170,< 1,1,9,18,27
180,< 1,1,9,17,26
190,< 1,1,8,16,25
200,< 1,1,8,16,24
210,< 1,< 1,8,15,23
220,< 1,< 1,7,14,22
230,< 1,< 1,7,14,21
240,< 1,< 1,7,13,21
250,< 1,< 1,6,12,20
260,< 1,< 1,6,12,19
,,,,,
TRICEPS DIP STANDARDS FOR FEMALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,< 1,10,21,34
100,< 1,< 1,10,21,33
110,< 1,1,10,21,32
120,< 1,1,10,20,31
130,< 1,1,10,19,30
140,< 1,1,10,19,29
150,< 1,1,10,18,28
160,< 1,1,9,17,27
170,< 1,1,9,17,26
180,< 1,1,9,16,25
190,< 1,1,8,15,24
200,< 1,1,8,15,23
210,< 1,< 1,8,14,22
220,< 1,< 1,7,13,21
230,< 1,< 1,7,13,20
240,< 1,< 1,7,12,20
250,< 1,< 1,6,11,19
260,< 1,< 1,6,11,18
,,,,,
TRICEPS DIP STANDARDS FOR FEMALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,< 1,8,18,30
100,< 1,< 1,8,18,29
110,< 1,1,8,18,28
120,< 1,1,8,17,27
130,< 1,1,8,17,27
140,< 1,1,8,17,26
150,< 1,1,8,16,24
160,< 1,1,7,15,23
170,< 1,1,7,15,22
180,< 1,1,7,14,22
190,< 1,1,7,13,21
200,< 1,1,7,13,20
210,< 1,< 1,7,12,19
220,< 1,< 1,6,12,18
230,< 1,< 1,6,12,17
240,< 1,< 1,6,11,17
250,< 1,< 1,5,10,17
260,< 1,< 1,5,10,16
,,,,,
TRICEPS DIP STANDARDS FOR FEMALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
90,< 1,< 1,7,15,25
100,< 1,< 1,7,15,24
110,< 1,1,7,15,23
120,< 1,1,7,14,23
130,< 1,1,7,14,22
140,< 1,1,7,14,21
150,< 1,1,7,13,20
160,< 1,1,6,12,19
