PUSH-UP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,2,16,32,52
120,< 1,3,17,33,51
130,< 1,5,17,33,51
140,< 1,5,18,33,50
150,< 1,6,18,32,49
160,< 1,7,18,32,48
170,< 1,7,18,32,47
180,< 1,7,18,31,46
190,< 1,7,18,31,45
200,< 1,8,18,30,44
210,< 1,8,18,30,43
220,< 1,8,18,29,42
230,< 1,8,17,29,41
240,< 1,8,17,28,41
250,< 1,8,17,27,40
260,< 1,8,17,27,39
270,< 1,7,16,26,38
280,< 1,7,16,26,37
290,< 1,7,16,25,36
300,< 1,7,15,25,35
310,< 1,7,15,25,35
,,,,,
INVERTED ROW STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,2,16,33,53
120,< 1,3,17,34,52
130,< 1,5,17,34,52
140,< 1,5,18,34,51
150,< 1,6,18,33,50
160,< 1,7,18,33,49
170,< 1,7,18,33,48
180,< 1,7,18,32,47
190,< 1,7,18,32,46
200,< 1,8,18,31,45
210,< 1,8,18,31,44
220,< 1,8,18,30,43
230,< 1,8,17,30,42
240,< 1,8,17,29,42
250,< 1,8,17,28,41
260,< 1,8,17,28,40
270,< 1,7,16,27,39
280,< 1,7,16,27,38
290,< 1,7,16,26,37
300,< 1,7,15,26,36
310,< 1,7,15,25,36
,,,,,
INVERTED ROW STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,2,15,31,50
120,< 1,3,16,32,49
130,< 1,5,16,32,49
140,< 1,5,17,32,48
150,< 1,6,17,31,48
160,< 1,7,17,31,47
170,< 1,7,17,31,46
180,< 1,7,17,30,45
190,< 1,7,17,30,44
200,< 1,8,17,29,43
210,< 1,8,17,29,42
220,< 1,8,17,29,41
230,< 1,8,16,29,40
240,< 1,8,16,28,40
250,< 1,8,16,27,39
260,< 1,8,16,27,38
270,< 1,7,15,26,37
280,< 1,7,15,26,36
290,< 1,7,15,25,35
300,< 1,7,14,25,34
310,< 1,7,14,24,34
,,,,,
INVERTED ROW STANDARDS FOR MALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,2,13,27,44
120,< 1,2,14,28,43
130,< 1,4,14,28,43
140,< 1,4,15,28,42
150,< 1,5,15,27,42
160,< 1,6,15,27,41
170,< 1,6,15,27,40
180,< 1,6,15,27,39
190,< 1,6,15,27,38
200,< 1,7,15,26,37
210,< 1,7,15,26,37
220,< 1,7,15,25,36
230,< 1,7,14,25,35
240,< 1,7,14,24,35
250,< 1,7,14,23,34
260,< 1,7,14,23,33
270,< 1,6,13,22,32
280,< 1,6,13,22,32
290,< 1,6,13,22,31
300,< 1,6,12,22,30
310,< 1,6,12,21,30
,,,,,
INVERTED ROW STANDARDS FOR MALES AGED 60-69,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,1,11,23,37
120,< 1,2,12,23,36
130,< 1,3,12,23,36
140,< 1,3,12,23,35
150,< 1,4,12,23,35
160,< 1,5,12,23,34
170,< 1,5,12,23,33
180,< 1,5,12,22,32
190,< 1,5,12,22,32
200,< 1,6,12,21,31
210,< 1,6,12,21,30
220,< 1,6,12,21,30
230,< 1,6,12,21,29
240,< 1,6,12,20,29
250,< 1,6,12,19,28
260,< 1,6,12,19,28
270,< 1,5,11,19,27
280,< 1,5,11,19,26
290,< 1,5,11,18,26
300,< 1,5,10,18,25
310,< 1,5,10,17,25
,,,,,
INVERTED ROW STANDARDS FOR MALES AGED 70-79,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,1,9,18,29
120,< 1,2,9,19,29
130,< 1,3,9,19,29
140,< 1,3,10,19,28
150,< 1,3,10,18,28
160,< 1,4,10,18,27
170,< 1,4,10,18,26
180,< 1,4,10,18,26
190,< 1,4,10,18,25
200,< 1,4,10,17,25
210,< 1,4,10,17,24
220,< 1,4,10,17,24
230,< 1,4,9,17,23
240,< 1,4,9,16,23
250,< 1,4,9,15,23
260,< 1,4,9,15,22
270,< 1,4,9,15,21
280,< 1,4,9,15,21
290,< 1,4,9,14,20
300,< 1,4,8,14,20
310,< 1,4,8,14,20
,,,,,
INVERTED ROW STANDARDS FOR MALES AGED 80-89,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,1,7,15,23
120,< 1,1,7,15,23
130,< 1,2,7,15,23
140,< 1,2,8,15,22
150,< 1,3,8,15,22
160,< 1,3,8,15,22
170,< 1,3,8,15,21
180,< 1,3,8,14,21
190,< 1,3,8,14,20
200,< 1,4,8,14,20
210,< 1,4,8,14,19
220,< 1,4,8,13,19
230,< 1,4,7,13,18
240,< 1,4,7,13,18
250,< 1,4,7,12,18
260,< 1,4,7,12,18
270,< 1,3,7,12,17
280,< 1,3,7,12,17
290,< 1,3,7,11,16
300,< 1,3,7,11,16
310,< 1,3,7,11,16
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 14-17,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,16,29,43
120,< 1,6,17,29,42
130,< 1,7,17,29,42
140,< 1,7,17,29,41
150,< 1,8,17,28,40
160,< 1,8,17,28,39
170,1,8,17,27,38
180,1,8,17,27,37
190,1,8,17,26,37
200,1,8,17,25,36
210,2,8,16,25,35
220,2,8,16,24,34
230,2,8,16,24,33
240,2,8,15,23,32
250,2,8,15,23,31
260,2,8,14,23,30
270,2,8,14,22,30
280,2,7,14,22,30
290,2,7,13,21,29
300,1,7,13,20,28
310,1,7,13,20,27
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 18-23,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,18,32,48
120,< 1,7,19,32,47
130,< 1,8,19,32,47
140,< 1,8,19,32,46
150,< 1,9,19,31,45
160,< 1,9,19,31,44
170,1,9,19,30,43
180,1,9,19,30,42
190,1,9,19,29,41
200,1,9,19,28,40
210,2,9,18,28,39
220,2,9,18,27,38
230,2,9,18,27,37
240,2,9,17,26,36
250,2,9,17,25,35
260,2,9,16,25,34
270,2,9,16,25,34
280,2,8,16,25,33
290,2,8,15,24,32
300,1,8,15,23,31
310,1,8,15,23,30
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 24-39,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,18,33,49
120,< 1,7,19,33,48
130,< 1,8,19,33,48
140,< 1,8,19,33,47
150,< 1,9,19,32,46
160,< 1,9,19,32,45
170,1,9,19,31,44
180,1,9,19,31,43
190,1,9,19,30,42
200,1,9,19,29,41
210,2,9,18,29,40
220,2,9,18,28,39
230,2,9,18,28,38
240,2,9,17,27,37
250,2,9,17,26,36
260,2,9,16,26,35
270,2,9,16,25,35
280,2,8,16,25,34
290,2,8,15,24,33
300,1,8,15,23,32
310,1,8,15,23,31
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 40-49,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,6,17,31,47
120,< 1,7,18,31,46
130,< 1,8,18,31,46
140,< 1,8,18,31,45
150,< 1,9,18,30,44
160,< 1,9,18,30,43
170,1,9,18,29,42
180,1,9,18,29,41
190,1,9,18,29,40
200,1,9,18,28,39
210,2,9,17,28,38
220,2,9,17,27,37
230,2,9,17,27,36
240,2,9,16,26,35
250,2,9,16,25,34
260,2,9,15,25,33
270,2,9,15,24,33
280,2,8,15,24,32
290,2,8,14,23,31
300,1,8,14,22,30
310,1,8,14,22,29
,,,,,
TRICEPS DIP STANDARDS FOR MALES AGED 50-59,,,,,
BW,NOVICE,INTERMEDIATE,PROFICIENT,ADVANCED,ELITE
110,< 1,5,15,27,41
120,< 1,6,16,27,40
130,< 1,7,16,27,40
140,< 1,7,16,27,39
150,< 1,7,16,27,38
160,< 1,7,16,27,37
